date,symbol,name,current_price,change_percent,previous_change_percent
2025-07-21,SHSE.600801,华新水泥,14.41,10.0,-0.61
2025-07-21,SHSE.603275,众辰科技,61.67,10.01,-3.68
2025-07-21,SHSE.600580,卧龙电驱,23.11,10.0,-0.66
2025-07-21,SHSE.600668,尖峰集团,13.3,10.01,-1.14
2025-07-21,SHSE.603977,国泰集团,13.53,10.0,1.4
2025-07-21,SHSE.605122,四方新材,15.47,10.03,-1.75
2025-07-21,SHSE.601003,柳钢股份,6.74,9.95,10.05
2025-07-21,SHSE.603516,淳中科技,49.83,10.0,6.92
2025-07-21,SHSE.603616,韩建河山,4.96,9.98,-0.66
2025-07-21,SHSE.603176,汇通集团,6.93,10.0,9.95
2025-07-21,SHSE.600720,中交设计,8.75,10.06,0.89
2025-07-21,SHSE.601179,中国西电,6.97,9.94,0.48
2025-07-21,SHSE.601992,金隅集团,1.73,10.19,0.0
2025-07-21,SHSE.603151,邦基科技,24.59,10.02,2.34
2025-07-21,SHSE.603373,安邦护卫,49.76,9.99,-3.97
2025-07-21,SHSE.601399,国机重装,3.38,10.1,0.99
2025-07-21,SHSE.600376,首开股份,2.82,10.16,0.79
2025-07-21,SHSE.603165,荣晟环保,12.8,9.97,0.09
2025-07-21,SHSE.603612,索通发展,21.19,10.02,1.48
2025-07-21,SHSE.600326,西藏天路,10.54,10.02,-0.73
2025-07-21,SHSE.600749,西藏旅游,13.15,10.04,0.67
2025-07-21,SHSE.603966,法兰泰克,10.63,10.04,-1.53
2025-07-21,SHSE.600143,金发科技,12.01,9.98,-0.64
2025-07-21,SHSE.603916,苏博特,10.51,10.05,0.0
2025-07-21,SHSE.605255,天普股份,21.92,9.98,-1.82
2025-07-21,SHSE.600268,国电南自,9.87,10.03,-2.82
2025-07-21,SHSE.600307,酒钢宏兴,1.67,9.15,1.32
2025-07-21,SHSE.603280,南方路机,28.72,10.0,1.36
2025-07-21,SHSE.600815,厦工股份,3.04,10.14,-0.36
2025-07-21,SHSE.603367,辰欣药业,18.03,10.01,3.93
2025-07-21,SHSE.600444,国机通用,20.97,10.02,9.98
2025-07-21,SHSE.900946,天雁B股,0.231,4.05,0.0
2025-07-21,SHSE.600629,华建集团,10.53,10.03,10.0
2025-07-21,SHSE.600984,建设机械,3.56,9.88,0.93
2025-07-21,SHSE.603949,雪龙集团,20.44,10.01,-0.54
2025-07-21,SHSE.600425,青松建化,4.15,10.08,0.0
2025-07-21,SHSE.601669,中国电建,5.59,10.04,0.4
2025-07-21,SHSE.605598,上海港湾,23.96,10.01,-0.09
2025-07-21,SHSE.600528,中铁工业,8.27,9.97,0.67
2025-07-21,SHSE.600829,人民同泰,10.16,9.96,10.0
2025-07-21,SHSE.600581,八一钢铁,3.62,10.03,0.61
2025-07-21,SHSE.600596,新安股份,9.83,9.96,1.13
2025-07-21,SHSE.600773,西藏城投,11.15,9.96,1.6
2025-07-21,SHSE.601868,中国能建,2.55,9.91,1.31
2025-07-21,SHSE.600117,西宁特钢,2.59,10.21,1.73
2025-07-21,SHSE.600678,四川金顶,10.58,9.98,-2.63
2025-07-21,SHSE.603227,雪峰科技,9.04,9.98,0.49
2025-07-21,SHSE.600939,重庆建工,3.91,10.14,-0.56
2025-07-21,SHSE.603375,盛景微,41.62,9.99,-0.34
2025-07-21,SHSE.900921,丹科B股,0.141,2.17,-1.43
2025-07-21,SHSE.605033,美邦股份,25.7,10.02,9.98
2025-07-21,SHSE.600392,盛和资源,18.73,9.98,5.78
